gene_id	Adult_Brain	Adult_Head	Adult_Midgut	Adult_Hindgut	Adult_FatBody	Adult_MalpighianTubule	Adult_Carcass	Adult_Ovary	Adult_Testis	Larval_Hindgut	Larval_FatBody	Larval_MalpighianTubule	Larval_Midgut	Larval_Carcass	max_expr	mean_expr	median_expr
2mit	3.688671231965878	0.7788005381250332	0.051577178696697666		0.081853449468323	0.0341381915121462	0.1953371229825624	0.19465497090292927							3.688671231965878	0.7178618119505098	0.19465497090292927
5-ht2a	1.1608472460167165	0.6952584602764109	0.057612740556526196		0.03172786269609061	0.05881685748204308	0.15143129649332332	0.2197052864575757							1.1608472460167165	0.3393428214255266	0.15143129649332332
5-ht2b	2.3552083788486926	2.2483278141352727	0.1367389796465683		0.16524061876666868	0.004297960735221878	0.1569450780428966	0.8750600436836387							2.3552083788486926	0.8488312676941371	0.16524061876666868
Abcc2	0.2860176586673268	0.4377714529308258	4.861786947840048		1.3634506579611487	2.8607795351025516	0.713471147320925	0.5112661567197594							4.861786947840048	1.5763633652203695	0.713471147320925
Acsl	4.447852542259161	5.770708960374745	5.2446996823733425		5.7195206848355	5.817636402738042	4.506637325845582	6.0765474935837025							6.0765474935837025	5.369086156001439	5.7195206848355
Ada2a	3.0859612697497996	2.233942150606532	1.8246182797236203		1.9196752379037916	1.7404830047961606	1.9681623400557016	4.886712372029323							4.886712372029323	2.5227935221235613	1.9681623400557016
Ago1	3.2282141809469187	3.0644383416979193	2.5647902538182477		2.502102784235197	2.929151177339115	2.513627619230505	4.2304169363131425							4.2304169363131425	3.004677327654435	2.929151177339115
Ak2	5.778451348664434	5.0410923455923315	5.426813631760679		5.667385908527022	5.862147948520557	5.328099968742752	5.686460173838895							5.862147948520557	5.541493046520953	5.667385908527022
Alc	3.8984541499821646	4.377795580557241	3.412631661785096		3.3198462116375813	4.091405522346422	3.003919211731248	4.412835893711454							4.412835893711454	3.7881268902501724	3.8984541499821646
Aldh	3.68246202700255	3.4113513343676765	4.7462989709083905		4.4864353263333685	4.6002915461824205	4.942452375419056	5.108809145650027							5.108809145650027	4.425442960837641	4.6002915461824205
Alix	4.010757437848122	4.425818657711238	3.5862159161454032		3.348180094382956	4.59838664914882	3.3464114898325095	3.8812696489697127							4.59838664914882	3.8852914134341083	3.8812696489697127
Alph	5.0187892557398825	4.969284171922257	4.048650062630312		4.323522608335419	4.706653419446767	4.323872438118414	5.386543162162184							5.386543162162184	4.682473588336462	4.706653419446767
Alpha-spec	4.590099129786454	4.33698725411032	4.031301560871845		3.38754738484535	4.307879557394046	3.3257179928187584	3.603066096039371							4.590099129786454	3.9403712822665926	4.031301560871845
Alphasnap	4.958670533866024	4.299858748845874	3.7583860086025886		3.733137752723096	4.503757212779802	3.48643814425115	4.592828579002043							4.958670533866024	4.190439568581511	4.299858748845874
Antp	1.399365752994967	0.1930196504484622	1.3086196371386771		3.133957440131887	1.1537898635232842	2.5655451229861534	0.6522342303864233							3.133957440131887	1.4866473853728361	1.3086196371386771
Ap-2alpha	4.201514139354061	3.720425112587511	2.6384852263580663		3.7211750950752713	3.574670090547023	3.5874231696067347	5.353746567471081							5.353746567471081	3.8282056287142496	3.720425112587511
Ap-2mu	3.879763307961373	3.728706590817322	2.6270698132071284		3.600573112011725	3.4162870998692947	3.5444861490862016	4.877402205415958							4.877402205415958	3.6677554683384286	3.600573112011725
Apkc	3.6151654240798363	3.3832806291874964	2.831210325026687		1.9240503267999216	2.4554050698133203	1.9784092378866327	3.315312050416734							3.6151654240798363	2.7861190090300894	2.831210325026687
Apolpp	6.168412957737549	4.442484465623655	4.546952566813204		7.4856056269955795	3.9231505275843914	6.782234879098345	6.797069978298586							7.4856056269955795	5.735130143164473	6.168412957737549
App-bp1	3.687993368578671	2.8445149053638716	2.8126567108035956		3.0003864395361566	2.925403156980175	3.0122281911411966	4.6890911261808155							4.6890911261808155	3.2817534140834974	3.0003864395361566
Archease	4.129320431571537	3.796079765481674	4.329368711281996		3.909751929774027	4.032826607614102	3.434436839072574	4.0726799312523045							4.329368711281996	3.957780602292602	4.032826607614102
Arms	2.5178033499511967	2.8531242365534073	3.6290851293640305		2.2677414963349047	4.298368238873492	1.7310402910155116	3.819980357199026							4.298368238873492	3.0167347284702237	2.8531242365534073
Arp3	4.622621160922155	4.194425730118402	4.624665362999185		3.854465009714556	4.236827061181453	3.98898474325316	5.27209712576139							5.27209712576139	4.399155170564329	4.236827061181453
