gene_id	Adult_Brain	Adult_Head	Adult_Midgut	Adult_Hindgut	Adult_FatBody	Adult_MalpighianTubule	Adult_Carcass	Adult_Ovary	Adult_Testis	Larval_Hindgut	Larval_FatBody	Larval_MalpighianTubule	Larval_Midgut	Larval_Carcass
AOB78_gp01								0.0	11.545702		0.07699252		7.7388673	
AOB78_gp02								1.3435211	11.758618		0.23032922		8.701125	
AOB78_gp03								0.0	6.5739455		0.0		0.8641518	
AOB78_gp04								0.0	7.3407264		0.08526448		3.6928806	
AOB78_gp05								0.0	9.682645		0.01717899		5.0210414	
AOB78_gp06								0.0	10.289366		0.0		5.013679	
AOB78_gp07								0.0	13.3636465		0.0		7.5796466	
AOB78_gp08								0.21874487	12.903484		0.17468892		8.888345	
AOB78_gp09								0.0	11.640302		0.07162488		9.325633	
AOB78_gp10								0.0	5.0748367		1.1432776		0.18194112	
AOB78_gp11								0.097801	13.575129		0.09835936		9.146576	
AOB78_gp12								3.4725556	14.102235		1.997951		10.717171	
AOB78_gp13								0.0	9.1065855		0.02275351		5.626956	
AOB78_gr01								0.0	7.512876		0.0		1.4962621	
AOB78_gr02								0.16121063	2.9140108		0.12540323		2.4118733	
AOB78_gt01								0.0	0.0		0.0		0.0	
AOB78_gt02								0.0	0.0		0.0		0.0	
AOB78_gt03								0.0	0.0		0.0		0.0	
AOB78_gt04								0.0	0.0		0.0		0.0	
AOB78_gt05								0.0	0.0		0.0		0.0	
AOB78_gt06								0.0	0.0		0.0		0.0	
AOB78_gt07								0.0	0.0		0.0		0.0	
AOB78_gt08								0.0	0.0		0.0		0.0	
AOB78_gt09								0.0	0.0		0.0		0.0	
AOB78_gt10								0.0	0.0		0.0		0.0	
AOB78_gt11								0.0	0.0		0.0		0.0	
AOB78_gt12								0.0	0.0		0.0		0.0	
AOB78_gt13								0.0	0.0		0.0		0.0	
AOB78_gt14								0.0	0.0		0.0		0.0	
AOB78_gt15								0.0	0.0		0.0		0.0	
AOB78_gt16								0.0	0.0		0.0		0.0	
AOB78_gt17								0.0	0.0		0.0		0.0	
AOB78_gt18								0.0	0.0		0.0		0.0	
AOB78_gt19								0.0	0.0		0.0		0.0	
AOB78_gt20								0.0	0.0		0.0		0.0	
AOB78_gt21								0.0	0.0		0.0		0.0	
AOB78_gt22								0.0	0.0		0.0		0.0	
LOC118261721								3.866874	3.5119474		1.7680951		3.0918283	
LOC118261723								1.1677318	3.379506		3.0443568		6.3866963	
LOC118261724								0.60397434	4.4498425		2.0699286		4.7511706	
LOC118261725								0.0	0.0		0.0		0.0	
LOC118261726								0.1797187	0.9855468		0.13681701		0.51167864	
LOC118261727								0.0649889	0.0		0.0		0.061155923	
LOC118261728								1.2105857	1.8784431		0.23821828		1.5721456	
LOC118261729								0.30380845	0.06521774		0.114588134		0.093836464	
LOC118261731								0.36623818	1.0542425		4.193926		0.026856543	
LOC118261733								0.009814611	0.0		0.0		0.05006618	
LOC118261735								0.051000115	1.3593304		0.020950785		8.865187	
LOC118261736								0.0	0.0		0.0		1.1365407	
LOC118261737								0.020335866	0.0		0.0		0.0	
LOC118261738								0.124711856	0.0		0.0		0.004239158	
LOC118261739								3.4359946	1.9664048		0.3771471		1.9911708	
LOC118261741								3.2349477	0.12848589		0.0		2.3974125	
LOC118261742								0.0	0.0		0.0		0.022466363	
LOC118261744								0.02654877	0.0		0.0		0.0	
LOC118261746								0.064774334	0.0		0.0		0.01611422	
LOC118261748								0.23562936	0.0		0.0		0.0	
LOC118261749								0.11458115	0.0		0.0		0.0	
LOC118261750								0.72933435	0.042552292		0.0		0.016420148	
LOC118261752								1.8375742	0.0		0.0		0.0	
LOC118261753								0.0	0.0		0.0		0.0	
LOC118261757								0.0	0.0		0.0		0.0	
LOC118261758								0.23809768	0.22257678		0.0		0.009045902	
LOC118261759								0.11309575	0.0		0.0		0.0	
LOC118261760								0.24974003	0.0		0.0		0.0	
LOC118261762								0.06275024	0.0		0.0		0.0	
LOC118261763								0.1905561	0.0		0.0		0.0	
LOC118261765								0.0	0.0		0.0		0.0	
LOC118261767								0.0	0.0		0.0		0.0	
LOC118261769								0.007654727	0.049687713		0.0		0.17585438	
LOC118261770								0.18853241	1.0268093		0.2981378		0.74087226	
LOC118261771								0.0	0.0		0.0		0.0065603023	
LOC118261772								0.0	0.045243233		0.0		0.011154217	
LOC118261775								0.0	0.0		0.0		0.022450449	
LOC118261778								0.41396204	0.059833594		0.025979813		0.030228479	
LOC118261781								0.0	9.011573		0.3011283		0.027444392	
LOC118261785								0.19186106	0.0		0.0		0.0	
LOC118261788								0.0	0.0		0.0		0.0	
LOC118261790								0.0	0.0		0.0		0.0	
LOC118261791								0.0	0.0		0.0		0.0	
LOC118261793								0.58401036	0.0		0.0		0.012984215	
LOC118261794								0.04272995	0.0		0.0		0.0	
LOC118261796								0.08211639	0.0		0.0		0.0	
LOC118261801								0.3189384	0.15705067		0.0		0.0	
LOC118261805								0.0	5.5854197		0.015279263		0.019723909	
LOC118261806								0.13702473	4.0877337		0.008923697		0.018014377	
LOC118261807								5.266892	6.668612		2.6749635		4.076516	
LOC118261808								3.1051342	3.5120785		2.5946505		5.259479	
LOC118261809								2.1671417	0.9669581		0.1723515		1.2788122	
LOC118261810								0.0	7.065154		0.0		0.004826522	
LOC118261813								0.0	6.201631		0.029944837		0.0007625415	
LOC118261814								0.0	0.77821314		5.257403		0.2573851	
LOC118261815								0.6559673	3.096678		0.061472226		0.26408246	
LOC118261816								1.1425788	0.21144113		0.19171515		0.38127625	
LOC118261817								2.8193135	1.6819533		3.03923		6.257312	
LOC118261818								5.2868433	2.9641702		3.269949		2.7655935	
LOC118261819								0.0	0.077455		0.0		0.0	
LOC118261821								1.350066	0.05272326		0.013771612		3.997816	
LOC118261822								0.48214594	0.66488117		0.014865688		0.4985953	
LOC118261823								2.850076	4.6835155		1.9155039		3.0954244	
LOC118261824								0.35846597	0.0		0.030176774		0.24096365	
LOC118261825								0.0	0.0		0.0		0.0	
LOC118261828								0.0	2.529635		0.005280168		0.0026299679	
LOC118261830								4.5846744	2.7172112		1.8667815		2.7162282	
LOC118261831								6.057956	4.889388		3.157726		4.239582	
LOC118261833								0.03210998	0.0662919		0.07441296		1.2784395	
LOC118261834								0.0	0.0		0.014425945		0.45597208	
LOC118261837								0.0	0.0		0.0		0.0	
LOC118261838								0.0	0.17269225		0.0080886725		0.006889487	
LOC118261840								0.039175093	0.0		0.011200123		0.04983725	
LOC118261841								0.9256154	6.0064926		0.23470943		0.46511108	
LOC118261842								8.743774	5.0677676		3.7725234		5.370919	
LOC118261844								0.4561303	0.6410894		0.21950977		0.47547284	
LOC118261848								0.0	0.0		0.0		0.0	
LOC118261849								5.6031885	0.17511244		0.09003131		1.9320409	
LOC118261851								0.024308968	0.04078853		0.009051371		0.50500226	
LOC118261852								0.0	0.0		0.0		0.44992393	
LOC118261853								2.311786	8.392797		7.6281605		9.623879	
LOC118261855								0.0	0.0909483		0.0		0.018878307	
LOC118261856								0.1769287	0.07995851		0.010554398		0.3177093	
LOC118261857								0.29621804	0.101146966		0.0		0.36469963	
LOC118261859								4.52371	3.3310401		4.362422		0.36122325	
LOC118261860								5.5981555	5.770619		4.481457		5.2171617	
LOC118261861								6.102301	6.863575		3.3419273		5.1777544	
LOC118261863								5.2164464	5.6344624		3.1373167		4.3516564	
LOC118261864								0.4817498	0.49876997		0.18629155		0.3899372	
LOC118261865								5.839674	6.133328		2.931885		4.680852	
LOC118261866								5.852406	5.7817216		2.3389103		6.641915	
LOC118261869								1.3854684	1.3905813		0.21371298		2.43436	
LOC118261870								5.2845902	0.0		0.0		3.6746657	
LOC118261871								3.119708	3.530931		0.6542532		3.075878	
LOC118261874								3.600331	1.3704278		4.750664		2.356637	
LOC118261875								0.035831247	2.7571995		0.0		5.8886514	
LOC118261876								2.4776845	2.767491		1.8777982		4.9664197	
LOC118261877								4.1237965	1.6880958		1.9065541		3.1951435	
LOC118261878								5.1584635	2.8256812		1.4751911		3.7992458	
LOC118261880								3.7547555	1.5889024		0.3592685		1.4632565	
LOC118261881								4.685861	2.6439204		3.1187766		4.5130906	
LOC118261882								2.1940365	3.52848		0.74568725		2.6025114	
LOC118261883								8.485047	5.9890146		4.2884045		5.222954	
LOC118261884								2.8778555	1.250373		0.6267677		1.2709949	
LOC118261887								3.0424266	0.1684755		0.06659378		1.5398697	
LOC118261888								0.17547524	0.021456156		0.0		0.06693549	
LOC118261891								0.116252415	4.073296		0.0		0.028389882	
LOC118261894								0.27143195	1.9259523		0.28889057		1.0685282	
LOC118261895								0.9078551	0.28745806		0.0		0.07530254	
LOC118261896								2.4067512	0.97130764		0.031567104		0.34313828	
LOC118261897								7.783812	0.5306088		0.0		0.08847221	
LOC118261898								0.0	0.0		0.0		0.009606029	
LOC118261899								6.4796696	3.1544306		2.759735		5.6762733	
LOC118261901								0.0	5.4315424		0.013451832		0.0012477104	
LOC118261903								0.7114012	0.100029774		0.07857514		1.0641147	
